"id1","affil1"
"6764","AT&T Labs, Research"
"7624","AT&T Labs?Research"
"9400","AT&T Labs&mdash;&#8212;Research, Florham Park, NJ"
"7112","AT&T Research"
"7105","AT&T Research Laboratory, Florham Park, NJ"
"3074","Athens Univ. of Economics and Business"
"5179","Athens University of Economics and Business, Athens, Greece"
"2494","Athens University of Economics and Business, Greece"
"5204","ATT Labs - Research, Florham Park, NJ"
"1854","Basic Research Unit, Helsinki Institute for Information Technology, Department of Computer Science, University of Helsinki, Finland"
"1140","Bayerisches Forschungszentrum für Wissensbasierte Systeme, Orleansstrá, München, Germany"
"3653","BEA Systems"
"6321","BEA Systems Inc, San Jose, CA, USA"
"2587","BEA Systems, Inc, San Jose"
"2465","BEA Systems, Inc."
"1224","BEA Systems, Inc.,"
"4616","BEA Systems, Inc., Burlington, MA"
"5337","BEA Systems, Inc., San Francisco, CA"
"799","BEA Systems, Inc., San Jose, CA"
"804","BEA Systems, Inc., San Jose, CA and Computer Science Department at the University of California, San Diego"
"4627","BEA Systems, Liberty Corner, NJ"
"9233","BEA Systems, Redwood Shores, CA"
"4629","BEA Systems, San Francisco, CA"
"1583","BEA Systems, San Jose, CA"
"1585","BEA Systems, San Jose, CA and Technical University of Munich, Munich, Germany"
"8070","BEA Systems, USA"
"4236","BEA Systems. Inc., San Francisco, CA"
"3","Bell Laboratories"
"100","Bell Laboratories (India)"
"6511","Bell Laboratories, 600 Mountain Avenue, Murray Hill, NJ"
"7861","Bell Laboratories, 600 Mountain Avenue, Murray Hill, NJ 07974, USA; e-mail: {minos,rastogi}@bell-labs.com"
"5671","Bell Laboratories, Alcatel-Lucent, Lisle, IL, USA"
"22","Bell Laboratories, Lucent Technologies"
"7913","Bell Laboratories, Lucent Technologies, 600 Mountain Ave., NJ 07974, Murray Hill, USA"
"7717","Bell Laboratories, Lucent Technologies, 600 Mountain Ave., NJ 07974, USA; {cychan, pascal, minos, rastogi}@research.bell-labs.com"
"7320","Bell Laboratories, Lucent Technologies, Murray Hill, NJ"
"8098","Bell Laboratories, Lucent Technologies, USA"
"6586","Bell Laboratories, Murray Hill, NJ"
"455","Bell Labs"
"4330","Bell Labs Research"
"5591","Bell Labs Research India, India"
"5655","Bell Labs Research, Bangalore, India"
"2246","Bell Labs, Alcatel-Lucent"
"7007","Bell Labs, Lucent"
"1","Bell Labs, Lucent Technologies"
"7120","Bell Labs, Lucent Technologies Murray Hill, NJ"
"7999","Bell Labs, Lucent Technologies, Murray Hill, New Jersey"
"8206","Bell Labs, Lucent Technologies, Murray Hill, NJ"
"6487","Bell Labs, Murray Hill, NJ"
"6538","Bell Labs."
"543","Berkeley"
"4052","Berufsakademie Stuttgart/IBM Germany"
"8106","Bilkent University, Ankara, Turkey"
"8108","Bilkent University, Bursa, Turkey"
"321","Biological Data Management and Technology Center, Berkeley, CA"
"4246","Boeing Phantom Works"
"257","Boston University"
"2331","Boston University, Boston, MA"
"5642","Boston University, Boston, MA, USA"
"9373","Boston University, Boston, USA"
"9383","Boston University, Boston, USA 02215"
"1009","Brandeis University"
"155","Brandeis University, Waltham, MA"
"5706","Brandeis University, Waltham, MA, USA"
"9625","Brown U"
"736","Brown University"
"164","Brown University, Providence, RI"
"5999","Brown University, Providence, RI, USA"
"4644","Brown University, Providence, RI."
"9063","C.M.U."
"1098","C&C Research Laboratories - Silicon Valley, NEC USA, INC., Cupertino, California"
"1244","C&C Research Laboratories - Silicon Valley, NEC USA, Inc., Suite, Cupertino, California"
"7777","C&C Research Laboratories, NEC USA, 110 Rio Robles, M/S SJ100, San Jose, CA 95134, USA; E-mail: {wen,candan,hirata,hara}@ccrl.sj.nec.com"
"6883","C&C Research Laboratories, NEC, Inc., 110 Rio Robles, San Jose, CA"
"233","Carnegie Mellon University"
"9792","Carnegie Mellon University, 5000 Forbes Ave., Pittsburgh, PA 15213, USA"
"9040","Carnegie Mellon University, Akamai Technologies"
"9039","Carnegie Mellon University, EPFL"
"9041","Carnegie Mellon University, Intel Research Pittsburgh"
"4139","Carnegie Mellon University, Pittsburgh"
"18","Carnegie Mellon University, Pittsburgh, PA"
"5598","Carnegie Mellon University, Pittsburgh, PA, USA"
"896","Carnegie Mellon University, Pittsburgh, Pennsylvania"
"8064","Carnegie Mellon University, USA"
"32","Case Western Reserve University, Cleveland, OH"
"1651","Cedric-CNAM"
"2691","CEDRIC-CNAM Paris, France"
"9413","Cedric, CNAM, Paris, France"
"7680","Cedric/CNAM Paris, France; e-mail: vodislav&commat;cnam.fr"
"1416","Center for Adv. Compu. Studies, Univ. of Louisiana at Lafayette, Lafayette, LA"
"8057","Center for Advanced Computer Studies, University of Illinois at Chicago, USA"
"9428","Center for Comprehensive Informatics, Emory University, Atlanta, USA 30322"
"883","Center for Research in Biological System, University of California, San Diego, CA"
"2224","Centrum voor Wiskunde en Informatica, Amsterdam, the Netherlands"
"7082","Centrum voor Wiskunde en Informatica, Kruislaan 413, 1098 SJ, Amsterdam, The Netherlands"
"2408","Centrum voor Wiskunde en Informatica, SJ Amsterdam, The Netherlands"
"6118","Centrum Wiskunde en Informatica, Amsterdam, Netherlands"
"2095","CERIA Lab., Université Paris Dauphine, France"
"8769","CERIAS and Department of Computer Science, Purdue University, West Lafayette, USA"
"7156","CERN"
"1027","CES Dept., UC Riverside"
"9001","Chinese Academy of Sciences"
"2583","Chinese Academy of Sciences, Beijing, China"
"9641","Chinese Academy of Sciences, China"
"3308","Chinese University of Hong Kong"
"8992","Chinese university of Hong Kong, Hong Kong, China"
"5280","Chinese University of Hong Kong, Hong Kong, Hong Kong"
"3223","Chinese University of Hong Kong, New Territories, Hong Kong"
"9136","Chinese University of Hong Kong, Sha Tin, New Territories, Hong Kong"
"3905","Chutney Technologies"
"8037","Chutney Technologies, Atlanta, GA"
"6972","Chutney Technologies, Inc., Atlanta, GA"
"7795","CIMIC and MSIS Department, Rutgers University, 180 University Avenue, Newark NJ 07102, USA e-mail: adam@adam.rutgers.edu; atluri@andromeda.rutgers.edu"
"1348","CIS Department, Polytechnic University, Brooklyn, NY"
"763","CISE Department, University of Florida, Gainesville, FL"
"4814","City University of Hong Kong"
"75","City University of Hong Kong, Hong Kong"
"7890","City University of Hong Kong, Hong Kong, China"
"9292","City University of Hong Kong, Kowloon, Hong Kong"
"9284","Clausthal University of Technology, Clausthal-Zellerfeld, Germany"
"3862","Clustra AS"
"3487","Clustra, Trondheim, Norway"
"3406","CMU"
"3561","CNAM"
"3763","CNAM Paris"
"2872","CNAM, France"
"7938","College of Business Administration, University of Cincinnati"
"691","College of Computer and Information Science, Northeastern University, Boston, MA"
"8176","College of Computer and Information Science, Northeastern University, USA"
"6634","College of Computing, Georgia Institute of Technology"
"7960","College of Computing, Georgia Institute of Technology, 801 Atlantic Drive, GA, 30332-0280, Atlanta, USA"
"8587","College of Computing, Georgia Institute of Technology, Atlanta, USA"
"1211","College of Engineering, School of Computer Engineering, Nanyang Technological University, Singapore"
"7880","College of Information Science and Technology, Drexel University, 3141 Chestnut Street, Philadelphia, PA 19104-2875, USA"
"1161","College of Information Science and Technology, Drexel University, Philadelphia, Pennsylvania"
"8545","College of Information Science and Technology, Drexel University, Philadelphia, USA 19104"
"861","College of Information Sciences and Technology, The Pennsylvania State University, University Park, PA"
"865","College of Information Sciences and Technology, The Pennsylvania State University, University Park, PA and Department of Computer Science and Engineering, The Pennsylvania State University, University Park, PA"
"12","Columbia University"
"9237","Columbia University, New York"
"8004","Columbia University, New York, New York"
"479","Columbia University, New York, NY"
"6026","Columbia University, New York, NY, USA"
"2935","Columbia University, NYC, NY"
"968","Comp. Eng. Dept, Bilkent University, Ankara, Turkey"
"1503","Comp. Sci. Div, Dept EECS, UC Berkeley, Berkeley, CA"
"6483","Compaq SRC, Palo Alto, CA"
"7580","Compaq Systems Research Center"
"3497","Compaq, Il, USA"
"6752","Computer & Information Science Department, University of Pennsylvania, 200 South 33rd Street, Philadelphia, PA"
"9267","Computer and Information Science and Engineering Department, University of Florida, Gainesville, USA 32611"
"8795","Computer and Information Science and Engineering, University of Florida, Gainesville, USA 32611"
"7881","Computer Engineering and Informatics, University of Patras, Greece"
"1925","Computer Laboratory, University of Cambridge"
"2075","Computer Science & Engineering Department, University of California, Riverside, Riverside, CA"
"1126","Computer Science & Engineering, Indian Institute of Technology, Mumbai, India"
"2176","Computer Science and Artificial Intelligence Lab., Massachusetts Institute of Technology"
"1292","Computer Science and Engg. Dept., I.I.T., Bombay"
"6477","Computer Science and Engg., Tndian Institiue of Technology, Mumbai 400076,INDIA"
"7744","Computer Science and Engineering Department, Arizona State University, Tempe, AZ 85287-5406, USA; e-mail: candan@asu.edu"
"8823","Computer Science and Engineering Department, State University of New York at Buffalo, Amherst, USA 14260"
"7892","Computer Science and Engineering Department, University of California, Riverside, CA"
"8868","Computer Science and Engineering, Arizona State University, Tempe, USA"
"6519","Computer Science Department Carnegie Mellon University"
"8338","Computer Science Department, Boston University, USA"
"1824","Computer Science Department, Brown University"
"943","Computer Science Department, Carnegie Mellon University, Pittsburgh"
"1462","Computer Science Department, Carnegie Mellon University, Pittsburgh, PA"
"8062","Computer Science Department, Carnegie Mellon University, USA"
"1451","Computer Science Department, Center for Automation Research and Institute for Advanced Computer Studies, University of Maryland at College Park"
"7805","Computer Science Department, Center for Automation Research, and Institute for Advanced Computer Studies, University of Maryland, College Park, Maryland 20742, USA; e-mail: hjs&commat;cs.umd.edu"
"6957","Computer Science Department, Columbia University"
"7942","Computer Science Department, Duke University, USA"
"1810","Computer Science Department, Hong Kong Univ. of Science and Technology, Hong Kong"
"8588","Computer Science Department, Illinois Institute of Technology, Chicago, USA"
"842","Computer Science Department, Indiana University, Bloomington"
"6709","Computer Science Department, Stanford University"
"7883","Computer Science Department, Stanford University, Stanford CA 94305, USA"
"630","Computer Science Department, Stanford University, Stanford, CA"
"7857","Computer Science Department, Stanford University, Stanford, CA 94305, USA; E-mail: hector@db.stanford.edu"
"9300","Computer Science Department, Stanford University, Stanford, USA 94305"
"7943","Computer Science Department, Stanford University, USA"
"6866","Computer Science Department, TECHNION - Israel Institute of Technology, Technion City, Haifa 32000, Israel"
"8766","Computer Science Department, Technion--Israel Institute of Technology, Haifa, Israel"
"7815","Computer Science Department, Tel Aviv University, Ramat Aviv, Tel Aviv 69978, Israel; E-mail: {anate, milo}@math.tau.ac.il"
"8125","Computer Science Department, University of Arizona, USA"
"8514","Computer Science Department, University of California at Santa Barbara, USA"
"1964","Computer Science Department, University of California, Berkeley, CA"
"8888","Computer Science Department, University of California, Los Angeles, Los Angeles, USA 90095"
"7715","Computer Science Department, University of California, Riverside, California 92521, USA; e-mail: tsotras@cs.ucr.edu"
"8337","Computer Science Department, University of California, USA"
"7856","Computer Science Department, University of Illinois at Urbana-Champaign, Urbana, IL 61801, USA; e-mail: kcchang@cs.uiuc.edu"
"9260","Computer Science Department, University of Illinois, Chicago, USA 60607"
"6924","Computer Science Department, University of Maryland, College Park, Maryland"
"2043","Computer Science Department, University of Maryland, College Park, MD"
"9489","Computer Science Department, University of Maryland, College Park, USA 20742"
"6521","Computer Science Department, University of Sao Paulo at Sao Carlos - Brazil"
"723","Computer Science Department, University of Southern California, Los Angeles, CA"
"8756","Computer Science Department, University of Southern California, Los Angeles, USA 90089-0781"
"8160","Computer Science Department, University of Southern California, USA"
"1314","Computer Science Department, University of Stuttgart, Stuttgart, Germany"
"7872","Computer Science Department, University of Twente, P.O. Box 217, 7500 AE Enschede, The Netherlands; E-mail: {grefen,vonk,apers}@cs.utwente.nl"
"8674","Computer Science Department, Virginia Tech, Blacksburg, USA 24060"
"1673","Computer Science Dept, UCLA"
"6754","Computer Science Dept., Columbia University"
"6863","Computer Science Dept., Stanford University, Stanford, CA"
"705","Computer Science Dept., SUNY at Binghamton"
"1836","Computer Science Dept., UCLA, Los Angeles, CA"
"703","Computer Science Dept., Univ. of Illinois at Chicago"
"6825","Computer Science Division, National Technical University of Athens, 157 73 Athens, Greece"
"7279","Computer Science Division, UC Berkeley"
"7466","Computer Science Division, UC Berkeley, Berkeley, CA"
"6583","Computer Science Program, School of EECS, University of Central Florida, Orlando, FL"
"1858","Computer Science UC, San Diego, La Jolla, CA"
"1812","Computer Science, Department Hong Kong Univ. of Science and Technology, Hong Kong"
"851","Computer Sciences Department - ICMC/USP, São Carlos, SP, Brazil"
"1546","Computer Sciences Department, University of Wisconsin - Madison, Madison, WI"
"6570","Computer Sciences Department, University of Wisconsin-Madison"
"8684","Computer Sciences Department, University of Wisconsin-Madison, Madison, USA 53706"
"616","Computer Sciences Department, University of Wisconsin, Madison, WI"
"6506","Computer Sciences Dept., University of Wisconsin"
"1908","Computer Sciences, Purdue University"
"3894","Computer Technology Institute, Patras, Greece"
"6524","Computer Technology, Institute, P.O.Box 1122, GR-26110 Patras, Greece"
"783","Computing Science, University of Aberdeen, Aberdeen, UK"
"4923","Cornell Theory Center, Ithaca, NY"
"1105","Cornell University"
"9139","Cornell University Ithaca, NY"
"4445","Cornell University, Ithaca, New York"
"2513","Cornell University, Ithaca, NY"
"5905","Cornell University, Ithaca, NY, USA"
"6386","Cornell University, Ithaca, USA"
"9251","Cornell University, Ithaca, USA 14853"
"1053","Courant Institute of Mathematical Sciences, Department of Computer Science, New York University"
"6772","Courant Institute of Mathematical Sciences, New York University"
"6654","Courant Institute of Mathematical Sciences, New York, University, New York, NY"
"7557","Courant Institute, New York University"
"8226","Courant Institute, New York, NY"
"6680","Courant Institute, NY"
"1026","CS Dept., UCLA"
"789","CS Storage Systems Dept., IBM Almaden Research Center"
"2131","CSE, University of New South Wales, Sydney, Australia"
"8251","CSIRO ICT Center/E-Health Research Center, Australia"
"366","CSIRO ICT Centre, North Ryde, NSW, Australia"
"3603","CTI Patras, Greece"
"6637","CTO, QUIQ, and Professor, UW-Madison"
"3570","CWI"
"466","CWI Amsterdam, The Netherlands"
"5206","CWI, Amsterdam, Netherlands"
"1002","CWI, Amsterdam, The Netherlands"
"8614","CWI, Amsterdam, The Netherlands 1098 SJ"
"7762","CWI, Kruislaan 413, 1098 SJ Amsterdam, The Netherlands; E-mail: {S.Manegold,M.L.Kersten}@cwi.nl"
"1223","CWI, Kruislaan, GB Amsterdam, The Netherlands"
"1221","CWI, Kruislaan, GB, Amsterdam, The Netherlands"
"6605","CWI, P.O. Box 94079, 1090 GB Amsterdam & Microsoft Corporation, One Microsoft Way, Redmond, WA"
"1885","CWI, SJ Amsterdam, The Netherlands"
"1353","D.E.I.S. - Università della Calabria, Rende, Italy"
"6664","D.I.A., Università di Roma Tre"
"6667","D.I.F.A., Università della Basilicata"
"7763","Data Distilleries B.V., Kruislaan 402, 1098 SM Amsterdam, The Netherlands; E-mail: P.Boncz@ddi.nl"
"3571","Data Distilleries, The Netherlands"
"6523","Data Eng.Lab, Dept.of Informatic, Aristotic University, of Thessaloniki, GR-54006 Greece"
"6718","Data Management Department, IBM T. J. Watson Research Center, P. O. Box 704, Yorktown Heights, NY"
"6574","Data Management, IBM T. J. Watson Research Center, P. O.Box, 704, Yorktown Heights, NY"
"347","Data Mining Technologies, Oracle"
"979","Database and Artificial Intelligence Group, Technische Universität, Wien, Vienna, Austria"
"1640","Database Research Group, Swiss Federal Institute of Technology (ETH), Zurich, Switzerland"
"9756","Database Security Oracle Corp., Redwood City, CA"
"7021","Database Systems Lab, Indian Institute of Science, Bangalore, India"
"6476","Database Systems Lab, SERC, Indian Institue of science, Bangalore 560012,INDIA, Lucent Bell Labs, 600 Mountain Avenue, Murray Hill, NJ"
"1306","Database Systems Lab, SERC, Indian Institute of Science, Bangalore, India"
"2142","Database Systems Lab, SERC/CSA, Indian Institute of Science, Bangalore, India"
"1127","Database Systems Lab., SERC, Indian Institute of Science, Bangalore, India"
"7827","Database Systems R& D Center, University of Florida, Gainesville, FL 32611––6125, USA; E-mail: su@cise.ufl.edu"
"1284","Databases and Distributed Systems Group, Department of Computer Science, Darmstadt University of Technology - Darmstadt, Germany"
"8748","David R. Cheriton School of Computer Science, University of Waterloo, Waterloo, Canada"
"597","David R. Cheriton School of Computer Science, University of Waterloo, Waterloo, Ontario, Canada"
"4258","DEI, Politecnico di Milano, Italy"
"1625","Deis UNICAL"
"7657","DEIS---CSITE--CNR, University of Bologna, Bologna, Italy"
"9244","DEIS, Università della Calabria, Rende (CS), Italy"
"9366","Department of Anthropology, UCR, Riverside, USA"
"758","Department of Anthropology, University of California - Riverside, Riverside, CA"
"8237","Department of Biology, Indiana University, USA"
"8694","Department of COFM, National University of Singapore, Singapore, Singapore"
"8136","Department of Computer and Information Science, Moore School Building, University of Pennsylvania, USA"
"1480","Department of Computer and Information Science, The University of Michigan - Dearborn, Dearborn, MI"
"8019","Department of Computer and Information Science, The University of Michigan - Dearborn, MI 48128, Dearborn, USA"
"8677","Department of Computer and Information Science, University of Michigan, Dearborn, USA 48128"
"1550","Department of Computer and Information Sciences and Engineering, University of Florida, Gainesville, FL"
"8586","Department of Computer and Information Sciences and Engineering, University of Florida, Gainsville, USA"
"8831","Department of Computer and Information Sciences, University of Pennsylvania, Philadelphia, USA 19104"
"8381","Department of Computer Engineering & Maths, Rovira i Virgili University of Tarragona, Catalonia"
"7935","Department of Computer Engineering and Information Technology, City University of Hong Kong, Tat Chee Avenue, Kowloon, Hong Kong, China"
"7993","Department of Computer Engineering, Bilkent University, 06800, Bilkent, Ankara, Turkey"
"2188","Department of Computer Engineering, Bilkent University, Ankara, Turkey"
"8544","Department of Computer Engineering, Kyungpook National University, Daegu, South Korea 702-701"
"8155","Department of Computer Engineering, Middle East Technical University, Turkey"
"2091","Department of Computer Science & Department of Electrical and Computer Engineering, University of Toronto"
"8165","Department of Computer Science & Electrical Engineering, University of Maryland, USA"
"755","Department of Computer Science & Engineering, University of California - Riverside, Riverside, CA"
"8170","Department of Computer Science & Engineering, University of California Riverside, USA"
"1017","Department of Computer Science & Engineering, University of California, San Diego"
"8542","Department of Computer Science and Advanced Information Technology Research Center (AITrc), Korea Advanced Institute of Science and Technology (KAIST), Daejeon, South Korea 305-701"
"1158","Department of Computer Science and Advanced Information Technology Research Center (AITrc), Korea Advanced Institute of Science and Technology (KAIST), Taejon, Korea"
"998","Department of Computer Science and Automation, Indian Institute of Science, Bangalore, India"
"8144","Department of Computer Science and Automation, Technical University of Ilmenau, Germany"
"8511","Department of Computer Science and Computer Engineering, La Trobe University, Australia"
"2093","Department of Computer Science and Department of Electrical and Computer Engineering, University of Toronto"
"1753","Department of Computer Science and Engineering University of California, Riverside, CA"
"7992","Department of Computer Science and Engineering, Arizona State University, AZ 85287-5406, Tempe, USA"
"1656","Department of Computer Science and Engineering, Arizona State University,Tempe, AZ"
"8150","Department of Computer Science and Engineering, Bourns College of Engineering, University of California, Riverside, USA"
"7721","Department of Computer Science and Engineering, Box 352350, University of Washington, Seattle, WA 98195-2350, USA; e-mail: {zives,alon,weld}@cs.washington.edu"
"8687","Department of Computer Science and Engineering, Chinese University of Hong Kong, Hong Kong, China"
"8804","Department of Computer Science and Engineering, Chinese University of Hong Kong, New Territories, Hong Kong"
"540","Department of Computer Science and Engineering, Chinese University of Hong Kong, Sha Tin, New Territories, Hong Kong"
"8173","Department of Computer Science and Engineering, Helsinki University of Technology, Finland"
"1276","Department of Computer Science and Engineering, Indian Institute of Technology Bombay, Mumbai, India"
"6909","Department of Computer Science and Engineering, Indian Institute of Technology Bombay, Mumbai, India 400076"
"1479","Department of Computer Science and Engineering, Michigan State University, East Lansing, MI"
"1431","Department of Computer Science and Engineering, State University of New York at Buffalo, Buffalo, NY"
"7747","Department of Computer Science and Engineering, The Chinese University of Hong Kong, Hong Kong; e-mail: adafu@cse.cuhk.edu.hk"
"8612","Department of Computer Science and Engineering, The Hong Kong University of Science and Technology, Kowloon, Hong Kong"
"9385","Department of Computer Science and Engineering, The Hong Kong University of Science and Technology, Kowloon, Hong Kong, China"
"8355","Department of Computer Science and Engineering, The Ohio State University, USA"
"859","Department of Computer Science and Engineering, The Pennsylvania State University, University Park, PA"
"7665","Department of Computer Science and Engineering, The Pennsylvania State University, University Park, PA 16802, USA; e-mail: &lcub;gurumurt,anand,vijay,kandemir,mji&rcub;&commat;cse.psu.edu"
"9362","Department of Computer Science and Engineering, UCR, Riverside, USA"
"1682","Department of Computer Science and Engineering, University of California San Diego"
"8129","Department of Computer Science and Engineering, University of California, USA"
"9487","Department of Computer Science and Engineering, University of Minnesota-Twin Cities, Minneapolis, USA 55455"
"725","Department of Computer Science and Engineering, University of Minnesota, Minneapolis, MN"
"8799","Department of Computer Science and Engineering, University of Minnesota, Minneapolis, USA 55455"
"960","Department of Computer Science and Engineering, University of Minnesota, Minnesota, MN"
"8377","Department of Computer Science and Engineering, University of Minnesota, USA"
"9467","Department of Computer Science and Engineering, University of Washington, Seattle, USA"
"6847","Department of Computer Science and Engineering, University of Washington, Seattle, WA"
"7867","Department of Computer Science and Engineering, University of Washington, Seattle, WA, 98195; E-mail: alon@cs.washington.edu"
"8135","Department of Computer Science and Engineering, University of Washington, USA"
"7948","Department of Computer Science and Engineering, University of Washington, WA 98195, Seattle, USA"
"9505","Department of Computer Science and Engineering, Wright State University, Dayton, USA"
"6969","Department of Computer Science and Information Engineering, National Taiwan University, Taipei, Taiwan, ROC"
"1527","Department of Computer Science and Information Systems, University of Hong Kong, Hong Kong"
"9351","Department of Computer Science and Software Engineering, ARC Centre for Perceptive and Intelligent Machines in Complex Environments, The University of Melbourne, Melbourne, Australia"
"1726","Department of Computer Science Northeastern University, Liaoning, China"
"6569","Department of Computer Science University of Maryland, College Park, Also with the Institute for Advanced Computer Studies, University Maryland"
"6568","Department of Computer Science University of Maryland, College Park, Also with the Institute for Systems Research, University of Maryland"
"7786","Department of Computer Science, Aalborg University 9220 Aalborg Øst, Denmark; E-mail: {simas,csj}@cs.auc.dk"
"1595","Department of Computer Science, Aalborg University, Aalborg Ø, Denmark"
"9360","Department of Computer Science, Aalborg University, Aalborg, Denmark"
"1476","Department of Computer Science, Aalborg University, Denmark"
"7980","Department of Computer Science, Aalborg University, Fredrik Bajers Vej 7E, 9220, Aalborg Øst, Denmark"
"8171","Department of Computer Science, Boston University, Boston, MA 02215, USA"
"8151","Department of Computer Science, Boston University, USA"
"1539","Department of Computer Science, Brandeis University"
"7916","Department of Computer Science, Brandeis University, MA 02254, Waltham, USA"
"8087","Department of Computer Science, Brandeis University, USA"
"1533","Department of Computer Science, Brandeis University, Waltham, MA"
"728","Department of Computer Science, Brown University"
"7917","Department of Computer Science, Brown University, RI 02912, Providence, USA"
"8085","Department of Computer Science, Brown University, USA"
"8575","Department of Computer Science, Carnegie Mellon University, Pittsburgh, USA"
"8502","Department of Computer Science, Center for Automation Research Institute for Advanced Computer Studies, University of Maryland, USA"
"6967","Department of Computer Science, City University of Hong Kong, 83 Tat Chee Avenue, Kowloon, Hong Kong"
"1522","Department of Computer Science, City University of Hong Kong, Hong Kong"
"762","Department of Computer Science, City University of Hong Kong, Kowloon Tong, Hong Kong SAR, China"
"1274","Department of Computer Science, City University of Hong Kong, Kowloon, Hong Kong"
"1750","Department of Computer Science, Cornell University"
"1103","Department of Computer Science, Darmstadt University of Technology"
"8571","Department of Computer Science, Drop and Statistics, University of São Paulo at São Carlos, São Carlos, Brazil"
"510","Department of Computer Science, Duke University"
"1067","Department of Computer Science, Duke University, Durham, NC"
"8510","Department of Computer Science, Fudan University, China"
"9332","Department of Computer Science, Global Scientific Information and Computing Center, Tokyo Institute of Technology, Tokyo, Japan 152-8552"
"9306","Department of Computer Science, Harbin Institute of Technology, Harbin, China"
"1915","Department of Computer Science, Hong Kong University of Science and Technology"
"1034","Department of Computer Science, Hong Kong University of Science and Technology, Clear Water Bay, Hong Kong"
"7811","Department of Computer Science, Hong Kong University of Science and Technology, Clear Water Bay, Kowloon, China; e-mail: luhj&commat;cs.ust.hk"
"1525","Department of Computer Science, Hong Kong University of Science and Technology, Clearwater Bay, Hong Kong"
"516","Department of Computer Science, Hong Kong University of Science and Technology, Hong Kong"
"8683","Department of Computer Science, Hong Kong University of Science and Technology, Kowloon, Hong Kong, China"
"7745","Department of Computer Science, Institute for Advanced Computer Studies & Institute for Systems Research, University of Maryland, College Park, MD 20742, USA; e-mail: {elemar,vs}@cs.umd.edu"
"8890","Department of Computer Science, Korea Advanced Institute of Science and Technology (KAIST), Daejeon, South Korea"
"8012","Department of Computer Science, Monmouth University, NJ 07764, West Long Branch, USA"
"9345","Department of Computer Science, National Chengchi University, Taipei, Taiwan, ROC"
